"Date","Price","Open","High","Low","Vol.","Change %"
"01/18/2016","710.40","714.64","715.21","708.45","612.51M","-0.03%"
"01/19/2016","710.73","716.66","718.27","707.86","682.05M","0.05%"
"01/20/2016","696.04","706.05","707.86","695.95","714.28M","-2.07%"
"01/21/2016","685.68","696.58","697.77","682.30","801.55M","-1.49%"
"01/22/2016","702.44","694.87","703.92","692.55","753.73M","2.44%"
"01/25/2016","705.39","707.62","710.88","701.23","538.63M","0.42%"
"01/26/2016","718.09","701.45","718.39","699.25","705.56M","1.80%"
"01/27/2016","720.53","718.20","726.84","717.75","791.90M","0.34%"
"01/28/2016","724.27","724.32","729.61","723.21","783.78M","0.52%"
"01/29/2016","734.81","731.23","735.07","730.80","706.54M","1.46%"
"02/01/2016","734.48","734.96","735.15","727.94","674.55M","-0.04%"
"02/02/2016","725.06","736.52","739.11","725.06","715.95M","-1.28%"
"02/03/2016","732.67","721.75","736.30","720.15","780.71M","1.05%"
"02/04/2016","745.05","741.50","747.40","739.63","812.59M","1.69%"
"02/05/2016","742.04","744.86","747.67","740.33","657.13M","-0.40%"
"02/08/2016","720.05","744.57","746.56","720.05","900.83M","-2.96%"
"02/09/2016","714.15","715.20","717.98","703.73","891.22M","-0.82%"
"02/10/2016","716.14","716.72","722.50","708.56","703.00M","0.28%"
"02/11/2016","709.42","711.16","712.82","698.90","829.50M","-0.94%"
"02/12/2016","709.37","713.32","715.42","708.96","642.83M","-0.01%"
"02/15/2016","710.08","712.75","715.66","694.36","781.33M","0.10%"
"02/16/2016","709.49","715.86","718.16","708.07","621.11M","-0.08%"
"02/17/2016","728.05","709.23","728.56","706.54","792.82M","2.62%"
"02/18/2016","734.46","727.09","734.46","723.22","730.06M","0.88%"
"02/19/2016","730.15","734.01","734.56","726.71","613.30M","-0.59%"
"02/22/2016","748.94","736.57","748.94","735.66","751.61M","2.57%"
"02/23/2016","755.00","748.55","759.24","746.74","912.71M","0.81%"
"02/24/2016","740.67","756.39","757.05","739.16","805.79M","-1.90%"
"02/25/2016","752.02","745.52","755.04","743.51","731.51M","1.53%"
"02/26/2016","749.29","755.71","760.17","748.36","707.77M","-0.36%"
"02/29/2016","758.14","747.10","759.55","744.24","695.37M","1.18%"
"03/01/2016","759.55","759.49","761.85","756.42","634.70M","0.19%"
"03/02/2016","767.88","766.36","770.97","764.15","723.46M","1.10%"
"03/03/2016","768.28","770.63","775.27","764.66","747.23M","0.05%"
"03/04/2016","771.91","769.44","771.91","761.64","747.73M","0.47%"
